EXTERNAL/TSAI:  VERSION OF 8/8/96

RUNPLAN for CLAS hadronization experiment                               
 inclusive:                                                             
                                                                        
CLAS TIN                                                                
                                                                        

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = ( 50,119);   avgA = 119.000; amuM=118.891; avgM=110.747
 targ= ordina; ttarg(rl)=0.02345; twall=0.00129; tbeam=0.00264; tspec=0.00000
         Nseg  =   2
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 1
  10.540  9.843  1.66    1.53    9.31    1.09    0.01   10.41  0.818
   5.345  0.170  8.97    2.31   11.71    1.66    0.01   13.38 7.833E+03

  10.540 10.390  1.75    1.65   10.33    1.16    0.01   11.51  0.813
   5.060  0.170  9.41    2.49   13.26    1.77    0.01   15.05 6.059E+03

  10.540 11.004  1.84    1.81   11.48    1.26    0.02   12.76  0.807
   4.760  0.170  9.88    2.73   15.02    1.92    0.02   16.95 4.641E+03

  10.540 11.700  1.95    2.03   12.80    1.40    0.02   14.21  0.801
   4.443  0.170 10.38    3.07   17.03    2.13    0.02   19.18 3.516E+03

  10.540 12.498  2.05    2.34   14.33    1.59    0.03   15.94  0.794
   4.109  0.170 10.90    3.54   19.36    2.44    0.03   21.82 2.630E+03

  10.540 13.428  2.16    2.76   16.13    1.88    0.03   18.04  0.786
   3.757  0.170 11.44    4.20   22.13    2.88    0.03   25.04 1.939E+03

  10.540 14.533  2.28    3.37   18.35    2.31    0.04   20.70  0.776
   3.385  0.170 12.02    5.17   25.54    3.53    0.04   29.12 1.404E+03

  10.540 15.881  2.41    4.28   21.17    2.97    0.05   24.19  0.764
   2.993  0.170 12.63    6.64   29.88    4.54    0.05   34.48 9.957E+02

  10.540 17.581  2.54    5.69   24.94    4.04    0.07   29.05  0.748
   2.580  0.170 13.28    8.98   35.68    6.18    0.07   41.94 6.865E+02

  10.540 19.829  2.68    8.09   30.36    5.92    0.10   36.37  0.726
   2.144  0.170 13.96   13.06   44.04    9.07    0.10   53.22 4.555E+02

  10.540 23.018  2.83   12.57   38.89    9.60    0.15   48.64  0.697
   1.684  0.170 14.67   20.97   57.23   14.73    0.15   72.11 2.855E+02

  10.540 28.112  2.98   22.51   54.19   18.09    0.25   72.53  0.654
   1.198  0.170 15.43   39.30   80.88   27.79    0.25  108.92 1.621E+02

  10.540 38.477  3.14   51.42   85.29   43.84    0.55  129.68  0.591
   0.687  0.170 16.23   96.12  129.16   67.53    0.56  197.25 7.421E+01

  10.540 93.980  3.31  148.40  148.35  153.17   25.69  327.22  0.576
   0.147  0.170 17.07  267.08  241.98  267.21   45.96  555.14 1.274E+01

  10.540  6.462  1.03    1.39    1.31    1.16    0.00    2.47  0.869
   7.666  0.190  5.25    2.10   -0.38    1.71    0.00    1.33 6.816E+04

  10.540  6.706  1.08    1.33    1.74    1.10    0.00    2.83  0.867
   7.508  0.190  5.49    2.01    0.26    1.62    0.00    1.89 5.612E+04

  10.540  6.965  1.14    1.27    2.17    1.04    0.00    3.21  0.865
   7.342  0.190  5.74    1.93    0.91    1.55    0.00    2.46 4.607E+04

  10.540  7.240  1.20    1.23    2.62    0.99    0.00    3.62  0.862
   7.166  0.190  6.01    1.86    1.59    1.48    0.00    3.08 3.769E+04

  10.540  7.534  1.27    1.20    3.10    0.95    0.00    4.05  0.859
   6.981  0.190  6.29    1.81    2.31    1.42    0.00    3.74 3.071E+04

  10.540  7.849  1.34    1.17    3.60    0.92    0.00    4.52  0.855
   6.786  0.190  6.58    1.77    3.07    1.38    0.00    4.45 2.492E+04

  10.540  8.186  1.41    1.16    4.15    0.89    0.00    5.04  0.851
   6.580  0.190  6.90    1.75    3.89    1.34    0.00    5.24 2.013E+04

  10.540  8.550  1.49    1.16    4.73    0.88    0.00    5.61  0.847
   6.363  0.190  7.23    1.74    4.77    1.32    0.00    6.10 1.617E+04

  10.540  8.944  1.57    1.17    5.37    0.87    0.00    6.25  0.842
   6.134  0.190  7.58    1.76    5.74    1.31    0.00    7.05 1.291E+04

  10.540  9.373  1.66    1.20    6.06    0.87    0.00    6.94  0.837
   5.893  0.190  7.94    1.79    6.78    1.32    0.00    8.10 1.024E+04

  10.540  9.842  1.75    1.24    6.82    0.89    0.00    7.72  0.832
   5.638  0.190  8.33    1.86    7.93    1.35    0.00    9.28 8.071E+03

  10.540 10.359  1.84    1.31    7.67    0.92    0.01    8.59  0.827
   5.369  0.190  8.74    1.96    9.20    1.40    0.01   10.60 6.310E+03

  10.540 10.933  1.95    1.41    8.59    0.97    0.01    9.57  0.822
   5.086  0.190  9.17    2.10   10.60    1.48    0.01   12.08 4.892E+03

  10.540 11.576  2.05    1.54    9.62    1.05    0.01   10.68  0.817
   4.787  0.190  9.62    2.30   12.17    1.59    0.01   13.77 3.757E+03

  10.540 12.303  2.16    1.72   10.79    1.16    0.01   11.96  0.812
   4.472  0.190 10.10    2.57   13.94    1.76    0.01   15.71 2.855E+03

  10.540 13.137  2.28    1.98   12.14    1.32    0.01   13.47  0.806
   4.139  0.190 10.61    2.95   16.00    2.01    0.01   18.01 2.144E+03

  10.540 14.107  2.41    2.33   13.72    1.55    0.01   15.28  0.799
   3.788  0.190 11.14    3.49   18.41    2.36    0.01   20.78 1.588E+03

  10.540 15.258  2.54    2.83   15.62    1.89    0.02   17.53  0.790
   3.418  0.190 11.71    4.27   21.32    2.88    0.02   24.22 1.157E+03

  10.540 16.659  2.68    3.57   18.00    2.42    0.02   20.44  0.779
   3.028  0.190 12.30    5.44   24.97    3.69    0.02   28.68 8.256E+02

  10.540 18.419  2.83    4.73   21.13    3.28    0.03   24.44  0.764
   2.617  0.190 12.92    7.32   29.79    5.01    0.03   34.82 5.740E+02

  10.540 20.736  2.98    6.67   25.59    4.80    0.04   30.43  0.743
   2.183  0.190 13.58   10.58   36.65    7.33    0.04   44.02 3.850E+02

  10.540 24.001  3.14   10.31   32.60    7.78    0.06   40.44  0.714
   1.725  0.190 14.28   16.90   47.45   11.88    0.06   59.39 2.447E+02

  10.540 29.150  3.32   18.29   45.16   14.61    0.10   59.87  0.672
   1.242  0.190 15.01   31.41   66.79   22.35    0.10   89.24 1.419E+02

  10.540 39.327  3.50   41.44   72.08   35.28    0.21  107.56  0.608
   0.733  0.190 15.78   76.19  108.35   54.08    0.21  162.64 6.756E+01

  10.540 84.012  3.68  134.55  131.72  134.90    4.84  271.47  0.565
   0.195  0.190 16.61  277.09  182.44  197.63    9.34  389.41 1.464E+01

  10.540  6.349  1.03    1.36   -0.49    1.15    0.00    0.66  0.876
   7.940  0.210  4.73    2.06   -3.07    1.69    0.00   -1.38 7.844E+04

  10.540  6.580  1.08    1.29   -0.09    1.09    0.00    0.99  0.875
   7.798  0.210  4.94    1.95   -2.47    1.60    0.00   -0.87 6.480E+04

  10.540  6.824  1.14    1.23    0.32    1.03    0.00    1.35  0.874
   7.647  0.210  5.17    1.86   -1.85    1.51    0.00   -0.34 5.339E+04

  10.540  7.083  1.20    1.17    0.73    0.97    0.00    1.70  0.873
   7.488  0.210  5.40    1.77   -1.23    1.43    0.00    0.21 4.387E+04

  10.540  7.357  1.27    1.13    1.15    0.92    0.00    2.07  0.871
   7.321  0.210  5.65    1.70   -0.60    1.36    0.00    0.77 3.595E+04

  10.540  7.649  1.34    1.09    1.59    0.87    0.00    2.47  0.867
   7.144  0.210  5.91    1.64    0.06    1.30    0.00    1.36 2.936E+04

  10.540  7.961  1.41    1.05    2.04    0.84    0.00    2.88  0.863
   6.958  0.210  6.19    1.59    0.74    1.25    0.00    1.99 2.390E+04

  10.540  8.294  1.49    1.03    2.52    0.80    0.00    3.33  0.859
   6.762  0.210  6.48    1.55    1.46    1.20    0.00    2.66 1.937E+04

  10.540  8.652  1.57    1.02    3.04    0.78    0.00    3.82  0.855
   6.554  0.210  6.79    1.53    2.24    1.17    0.00    3.41 1.563E+04

  10.540  9.039  1.66    1.02    3.60    0.76    0.00    4.36  0.850
   6.336  0.210  7.11    1.52    3.07    1.14    0.00    4.22 1.255E+04

  10.540  9.457  1.75    1.03    4.20    0.75    0.00    4.96  0.845
   6.105  0.210  7.45    1.53    3.98    1.13    0.00    5.12 1.001E+04

  10.540  9.913  1.84    1.05    4.86    0.75    0.00    5.61  0.840
   5.862  0.210  7.81    1.56    4.97    1.14    0.00    6.10 7.942E+03

  10.540 10.412  1.95    1.09    5.57    0.77    0.00    6.34  0.835
   5.606  0.210  8.19    1.62    6.04    1.16    0.00    7.20 6.257E+03

  10.540 10.963  2.05    1.15    6.36    0.79    0.00    7.16  0.830
   5.335  0.210  8.60    1.70    7.23    1.20    0.00    8.43 4.892E+03

  10.540 11.574  2.16    1.24    7.22    0.83    0.00    8.06  0.825
   5.050  0.210  9.02    1.83    8.53    1.26    0.00    9.79 3.793E+03

  10.540 12.260  2.28    1.36    8.19    0.90    0.00    9.09  0.820
   4.749  0.210  9.46    2.00    9.98    1.36    0.00   11.35 2.914E+03

  10.540 13.037  2.41    1.52    9.27    0.99    0.00   10.26  0.815
   4.432  0.210  9.93    2.24   11.62    1.51    0.00   13.13 2.216E+03

  10.540 13.930  2.54    1.75   10.50    1.13    0.01   11.64  0.810
   4.097  0.210 10.43    2.57   13.50    1.71    0.01   15.22 1.666E+03

  10.540 14.971  2.68    2.06   11.94    1.33    0.01   13.28  0.805
   3.744  0.210 10.95    3.05   15.69    2.02    0.01   17.72 1.235E+03

  10.540 16.210  2.83    2.52   13.66    1.64    0.01   15.30  0.798
   3.372  0.210 11.51    3.74   18.31    2.49    0.01   20.80 9.006E+02

  10.540 17.722  2.98    3.19   15.81    2.11    0.01   17.93  0.788
   2.979  0.210 12.09    4.80   21.60    3.21    0.01   24.82 6.436E+02

  10.540 19.633  3.14    4.25   18.64    2.90    0.01   21.55  0.774
   2.565  0.210 12.70    6.50   25.94    4.41    0.01   30.37 4.479E+02

  10.540 22.167  3.32    6.06   22.68    4.32    0.02   27.02  0.753
   2.128  0.210 13.35    9.51   32.16    6.57    0.02   38.74 3.004E+02

  10.540 25.776  3.50    9.53   29.15    7.17    0.03   36.36  0.723
   1.667  0.210 14.03   15.50   42.11   10.92    0.03   53.06 1.905E+02

  10.540 31.584  3.69   17.47   41.21   14.04    0.05   55.30  0.678
   1.181  0.210 14.76   29.89   60.65   21.40    0.05   82.09 1.095E+02

  10.540 43.615  3.89   42.34   68.88   36.52    0.10  105.51  0.607
   0.669  0.210 15.51   78.10  103.20   55.79    0.10  159.09 5.045E+01

  10.540121.418  4.10  129.20  135.14  151.66    8.92  295.72  0.665
   0.128  0.210 16.31  254.48  221.73  258.08   19.59  499.40 7.906E+00

  10.540  6.260  1.03    1.36   -2.14    1.16    0.00   -0.98  0.873
   8.167  0.231  4.31    2.05   -5.50    1.70    0.00   -3.80 8.819E+04

  10.540  6.482  1.08    1.29   -1.74    1.09    0.00   -0.65  0.875
   8.037  0.231  4.49    1.93   -4.91    1.60    0.00   -3.31 7.303E+04

  10.540  6.714  1.14    1.22   -1.33    1.02    0.00   -0.31  0.875
   7.899  0.230  4.69    1.83   -4.30    1.50    0.00   -2.80 6.032E+04

  10.540  6.960  1.20    1.15   -0.93    0.96    0.00    0.03  0.875
   7.754  0.230  4.90    1.73   -3.70    1.42    0.00   -2.28 4.970E+04

  10.540  7.220  1.27    1.09   -0.53    0.91    0.00    0.38  0.874
   7.601  0.230  5.13    1.64   -3.09    1.34    0.00   -1.76 4.085E+04

  10.540  7.495  1.34    1.04   -0.12    0.85    0.00    0.73  0.871
   7.440  0.230  5.36    1.57   -2.49    1.26    0.00   -1.22 3.350E+04

  10.540  7.788  1.41    1.00    0.29    0.81    0.00    1.09  0.869
   7.270  0.230  5.60    1.50   -1.87    1.20    0.00   -0.68 2.739E+04

  10.540  8.099  1.49    0.96    0.70    0.77    0.00    1.47  0.865
   7.091  0.230  5.86    1.44   -1.25    1.14    0.00   -0.11 2.233E+04

  10.540  8.431  1.57    0.94    1.14    0.73    0.00    1.87  0.861
   6.902  0.230  6.13    1.40   -0.59    1.09    0.00    0.50 1.814E+04

  10.540  8.788  1.66    0.92    1.61    0.70    0.00    2.31  0.857
   6.702  0.230  6.42    1.37    0.11    1.05    0.00    1.16 1.468E+04

  10.540  9.171  1.75    0.91    2.10    0.68    0.00    2.78  0.853
   6.492  0.230  6.73    1.35    0.85    1.02    0.00    1.87 1.182E+04

  10.540  9.585  1.85    0.91    2.64    0.66    0.00    3.31  0.848
   6.270  0.230  7.05    1.34    1.65    1.00    0.00    2.65 9.475E+03

  10.540 10.034  1.95    0.92    3.22    0.66    0.00    3.88  0.843
   6.036  0.230  7.39    1.35    2.52    0.98    0.00    3.50 7.551E+03

  10.540 10.524  2.05    0.94    3.85    0.66    0.00    4.51  0.838
   5.789  0.230  7.74    1.38    3.46    0.99    0.00    4.45 5.981E+03

  10.540 11.061  2.16    0.98    4.54    0.67    0.00    5.21  0.834
   5.528  0.230  8.12    1.44    4.50    1.01    0.00    5.51 4.705E+03

  10.540 11.655  2.28    1.04    5.30    0.69    0.00    5.99  0.829
   5.253  0.230  8.52    1.52    5.63    1.04    0.00    6.68 3.674E+03

  10.540 12.316  2.41    1.12    6.11    0.73    0.00    6.84  0.823
   4.964  0.230  8.94    1.63    6.85    1.10    0.00    7.95 2.845E+03

  10.540 13.060  2.54    1.24    7.04    0.79    0.00    7.83  0.820
   4.658  0.230  9.38    1.80    8.25    1.19    0.00    9.44 2.183E+03

  10.540 13.907  2.68    1.39    8.06    0.87    0.00    8.93  0.815
   4.336  0.230  9.84    2.02    9.79    1.32    0.00   11.12 1.658E+03

  10.540 14.883  2.83    1.61    9.22    1.00    0.00   10.23  0.811
   3.996  0.230 10.33    2.34   11.56    1.52    0.00   13.08 1.244E+03

  10.540 16.027  2.98    1.92   10.59    1.19    0.00   11.79  0.806
   3.637  0.230 10.85    2.79   13.65    1.81    0.00   15.46 9.204E+02

  10.540 17.399  3.14    2.36   12.22    1.49    0.00   13.71  0.800
   3.259  0.230 11.40    3.46   16.13    2.25    0.00   18.39 6.696E+02

  10.540 19.089  3.32    3.03   14.26    1.96    0.00   16.23  0.793
   2.860  0.230 11.98    4.50   19.26    2.97    0.01   22.23 4.769E+02

  10.540 21.252  3.50    4.11   17.00    2.77    0.01   19.78  0.779
   2.439  0.230 12.59    6.23   23.45    4.20    0.01   27.65 3.301E+02

  10.540 24.171  3.69    6.00   20.97    4.26    0.01   25.24  0.758
   1.996  0.230 13.22    9.37   29.54    6.47    0.01   36.02 2.193E+02

  10.540 28.455  3.89    9.84   27.64    7.48    0.01   35.13  0.725
