EXTERNAL/TSAI:  VERSION OF 8/8/96

RUNPLAN for CLAS hadronization experiment                               
 inclusive:                                                             
                                                                        
CLAS Carbon                                                             
                                                                        

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  6, 12);   avgA =  12.000; amuM= 12.002; avgM= 11.180
 targ= ordina; ttarg(rl)=0.00601; twall=0.00129; tbeam=0.00264; tspec=0.00000
         Nseg  =   2
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 1
  10.540  9.843  1.66    1.81    9.98    1.27    0.05   11.30  0.812
   5.345  0.170  8.97    2.17   11.20    1.54    0.05   12.78 7.340E+02

  10.540 10.390  1.75    1.94   11.04    1.35    0.06   12.44  0.807
   5.060  0.170  9.41    2.33   12.47    1.63    0.06   14.16 5.690E+02

  10.540 11.004  1.84    2.13   12.23    1.46    0.07   13.75  0.802
   4.760  0.170  9.88    2.55   13.91    1.76    0.07   15.74 4.367E+02

  10.540 11.700  1.95    2.39   13.60    1.62    0.08   15.29  0.796
   4.443  0.170 10.38    2.86   15.55    1.96    0.08   17.59 3.316E+02

  10.540 12.498  2.05    2.74   15.18    1.84    0.10   17.12  0.790
   4.109  0.170 10.90    3.29   17.46    2.23    0.10   19.79 2.486E+02

  10.540 13.428  2.16    3.23   17.06    2.17    0.12   19.35  0.782
   3.757  0.170 11.44    3.89   19.73    2.63    0.12   22.49 1.838E+02

  10.540 14.533  2.28    3.94   19.37    2.66    0.16   22.19  0.773
   3.385  0.170 12.02    4.75   22.54    3.23    0.16   25.92 1.335E+02

  10.540 15.881  2.41    4.99   22.32    3.42    0.20   25.94  0.761
   2.993  0.170 12.63    6.05   26.11    4.15    0.20   30.46 9.500E+01

  10.540 17.581  2.54    6.62   26.27    4.64    0.27   31.18  0.746
   2.580  0.170 13.28    8.09   30.90    5.64    0.27   36.81 6.577E+01

  10.540 19.829  2.68    9.37   31.98    6.81    0.37   39.16  0.726
   2.144  0.170 13.96   11.59   37.84    8.27    0.38   46.48 4.387E+01

  10.540 23.018  2.83   14.52   40.95   11.05    0.56   52.56  0.699
   1.684  0.170 14.67   18.26   48.75   13.42    0.56   62.74 2.766E+01

  10.540 28.112  2.98   25.91   56.96   20.88    0.95   78.79  0.659
   1.198  0.170 15.43   33.37   68.25   25.39    0.95   94.60 1.582E+01

  10.540 38.477  3.14   59.15   88.88   50.98    2.20  142.07  0.598
   0.687  0.170 16.23   79.01  107.27   62.26    2.27  171.81 7.308E+00

  10.540 93.980  3.31  170.80  156.90  176.04  107.52  440.46  0.575
   0.147  0.170 17.07  233.12  197.77  245.09  150.42  593.28 1.268E+00

  10.540  6.462  1.03    1.67    1.87    1.37    0.01    3.25  0.860
   7.666  0.190  5.25    1.99    1.55    1.62    0.01    3.18 6.265E+03

  10.540  6.706  1.08    1.59    2.27    1.30    0.01    3.57  0.859
   7.508  0.190  5.49    1.90    2.02    1.54    0.01    3.56 5.174E+03

  10.540  6.965  1.14    1.52    2.68    1.23    0.01    3.92  0.857
   7.342  0.190  5.74    1.82    2.51    1.46    0.01    3.98 4.261E+03

  10.540  7.240  1.20    1.46    3.13    1.17    0.01    4.31  0.854
   7.166  0.190  6.01    1.75    3.04    1.39    0.01    4.44 3.496E+03

  10.540  7.534  1.27    1.42    3.60    1.12    0.01    4.73  0.851
   6.981  0.190  6.29    1.70    3.60    1.33    0.01    4.94 2.857E+03

  10.540  7.849  1.34    1.38    4.11    1.07    0.01    5.20  0.848
   6.786  0.190  6.58    1.66    4.20    1.28    0.01    5.50 2.325E+03

  10.540  8.186  1.41    1.36    4.67    1.04    0.01    5.72  0.845
   6.580  0.190  6.90    1.63    4.86    1.25    0.01    6.12 1.882E+03

  10.540  8.550  1.49    1.36    5.27    1.02    0.01    6.30  0.841
   6.363  0.190  7.23    1.63    5.58    1.22    0.01    6.82 1.515E+03

  10.540  8.944  1.57    1.37    5.93    1.01    0.02    6.95  0.837
   6.134  0.190  7.58    1.64    6.36    1.21    0.02    7.59 1.213E+03

  10.540  9.373  1.66    1.40    6.64    1.01    0.02    7.67  0.832
   5.893  0.190  7.94    1.67    7.21    1.22    0.02    8.45 9.645E+02

  10.540  9.842  1.75    1.45    7.43    1.03    0.02    8.48  0.828
   5.638  0.190  8.33    1.73    8.16    1.24    0.02    9.42 7.616E+02

  10.540 10.359  1.84    1.53    8.30    1.06    0.03    9.39  0.824
   5.369  0.190  8.74    1.82    9.19    1.28    0.03   10.50 5.967E+02

  10.540 10.933  1.95    1.64    9.25    1.12    0.03   10.40  0.819
   5.086  0.190  9.17    1.95   10.34    1.35    0.03   11.72 4.636E+02

  10.540 11.576  2.05    1.79   10.33    1.20    0.04   11.57  0.814
   4.787  0.190  9.62    2.14   11.62    1.46    0.04   13.12 3.568E+02

  10.540 12.303  2.16    2.00   11.53    1.33    0.04   12.91  0.808
   4.472  0.190 10.10    2.38   13.07    1.61    0.04   14.72 2.718E+02

  10.540 13.137  2.28    2.29   12.93    1.51    0.05   14.49  0.802
   4.139  0.190 10.61    2.73   14.75    1.82    0.05   16.63 2.046E+02

  10.540 14.107  2.41    2.69   14.57    1.77    0.06   16.40  0.795
   3.788  0.190 11.14    3.21   16.73    2.14    0.06   18.93 1.519E+02

  10.540 15.258  2.54    3.27   16.54    2.15    0.08   18.78  0.787
   3.418  0.190 11.71    3.91   19.12    2.61    0.08   21.81 1.110E+02

  10.540 16.659  2.68    4.11   19.03    2.75    0.10   21.88  0.776
   3.028  0.190 12.30    4.94   22.12    3.33    0.10   25.56 7.955E+01

  10.540 18.419  2.83    5.42   22.22    3.72    0.14   26.08  0.762
   2.617  0.190 12.92    6.57   25.99    4.51    0.14   30.64 5.555E+01

  10.540 20.736  2.98    7.62   27.01    5.44    0.19   32.64  0.743
   2.183  0.190 13.58    9.35   31.80    6.60    0.19   38.59 3.745E+01

  10.540 24.001  3.14   11.73   34.43    8.83    0.27   43.53  0.717
   1.725  0.190 14.28   14.63   40.81   10.70    0.27   51.78 2.395E+01

  10.540 29.150  3.32   20.74   47.68   16.63    0.45   64.76  0.677
   1.242  0.190 15.01   26.49   56.91   20.19    0.45   77.55 1.399E+01

  10.540 39.327  3.50   46.93   75.94   40.47    1.01  117.41  0.617
   0.733  0.190 15.78   62.14   91.34   49.29    1.04  141.67 6.719E+00

  10.540 84.012  3.68  152.69  139.27  156.62   26.97  322.85  0.578
   0.195  0.190 16.61  215.14  166.23  197.92   37.61  401.75 1.470E+00

  10.540  6.349  1.03    1.64    0.12    1.37    0.00    1.49  0.867
   7.940  0.210  4.73    1.95   -0.52    1.61    0.00    1.10 7.206E+03

  10.540  6.580  1.08    1.54    0.49    1.28    0.00    1.77  0.867
   7.798  0.210  4.94    1.84   -0.08    1.52    0.00    1.43 5.972E+03

  10.540  6.824  1.14    1.46    0.87    1.21    0.00    2.08  0.867
   7.647  0.210  5.17    1.75    0.37    1.43    0.00    1.80 4.937E+03

  10.540  7.083  1.20    1.39    1.26    1.14    0.00    2.40  0.865
   7.488  0.210  5.40    1.66    0.83    1.35    0.00    2.18 4.071E+03

  10.540  7.357  1.27    1.33    1.66    1.07    0.00    2.74  0.864
   7.321  0.210  5.65    1.59    1.30    1.28    0.00    2.58 3.348E+03

  10.540  7.649  1.34    1.28    2.09    1.02    0.01    3.11  0.861
   7.144  0.210  5.91    1.53    1.81    1.21    0.01    3.02 2.744E+03

  10.540  7.961  1.41    1.24    2.54    0.97    0.01    3.52  0.858
   6.958  0.210  6.19    1.48    2.34    1.16    0.01    3.51 2.240E+03

  10.540  8.294  1.49    1.21    3.02    0.93    0.01    3.96  0.855
   6.762  0.210  6.48    1.44    2.92    1.11    0.01    4.04 1.821E+03

  10.540  8.652  1.57    1.19    3.56    0.90    0.01    4.46  0.851
   6.554  0.210  6.79    1.42    3.55    1.08    0.01    4.64 1.473E+03

  10.540  9.039  1.66    1.18    4.13    0.88    0.01    5.01  0.846
   6.336  0.210  7.11    1.41    4.23    1.05    0.01    5.29 1.186E+03

  10.540  9.457  1.75    1.19    4.75    0.87    0.01    5.63  0.842
   6.105  0.210  7.45    1.42    4.97    1.04    0.01    6.02 9.486E+02

  10.540  9.913  1.84    1.22    5.43    0.87    0.01    6.31  0.838
   5.862  0.210  7.81    1.45    5.78    1.04    0.01    6.83 7.542E+02

  10.540 10.412  1.95    1.26    6.17    0.88    0.01    7.06  0.833
   5.606  0.210  8.19    1.50    6.66    1.06    0.01    7.73 5.955E+02

  10.540 10.963  2.05    1.33    7.00    0.91    0.01    7.92  0.829
   5.335  0.210  8.60    1.58    7.65    1.09    0.01    8.76 4.666E+02

  10.540 11.574  2.16    1.43    7.89    0.95    0.02    8.85  0.824
   5.050  0.210  9.02    1.69    8.70    1.15    0.02    9.87 3.626E+02

  10.540 12.260  2.28    1.57    8.88    1.02    0.02    9.93  0.819
   4.749  0.210  9.46    1.85    9.90    1.24    0.02   11.16 2.793E+02

  10.540 13.037  2.41    1.75   10.00    1.13    0.02   11.15  0.815
   4.432  0.210  9.93    2.07   11.24    1.36    0.02   12.62 2.129E+02

  10.540 13.930  2.54    2.01   11.28    1.28    0.03   12.59  0.809
   4.097  0.210 10.43    2.37   12.77    1.55    0.03   14.35 1.604E+02

  10.540 14.971  2.68    2.36   12.77    1.51    0.03   14.31  0.804
   3.744  0.210 10.95    2.80   14.56    1.82    0.03   16.42 1.193E+02

  10.540 16.210  2.83    2.87   14.55    1.84    0.04   16.44  0.796
   3.372  0.210 11.51    3.41   16.72    2.23    0.04   18.99 8.729E+01

  10.540 17.722  2.98    3.63   16.80    2.37    0.05   19.23  0.786
   2.979  0.210 12.09    4.33   19.43    2.87    0.05   22.36 6.263E+01

  10.540 19.633  3.14    4.82   19.77    3.25    0.07   23.09  0.772
   2.565  0.210 12.70    5.80   23.02    3.94    0.07   27.03 4.379E+01

  10.540 22.167  3.32    6.84   24.05    4.83    0.10   28.98  0.754
   2.128  0.210 13.35    8.34   28.21    5.85    0.10   34.16 2.953E+01

  10.540 25.776  3.50   10.71   30.95    8.04    0.14   39.14  0.726
   1.667  0.210 14.03   13.29   36.58    9.74    0.14   46.46 1.885E+01

  10.540 31.584  3.69   19.54   43.82   15.80    0.24   59.86  0.685
   1.181  0.210 14.76   24.91   52.19   19.15    0.24   71.58 1.092E+01

  10.540 43.615  3.89   47.29   73.21   41.50    0.59  115.30  0.619
   0.669  0.210 15.51   62.73   87.94   50.50    0.62  139.06 5.072E+00

  10.540121.418  4.10  142.47  149.46  164.40   42.34  356.20  0.655
   0.128  0.210 16.31  196.46  185.97  227.27   62.18  475.41 8.025E-01

  10.540  6.260  1.03    1.64   -1.44    1.38    0.00   -0.07  0.866
   8.167  0.231  4.31    1.94   -2.36    1.62    0.00   -0.74 8.097E+03

  10.540  6.482  1.08    1.54   -1.09    1.29    0.00    0.20  0.868
   8.037  0.231  4.49    1.83   -1.94    1.52    0.00   -0.42 6.727E+03

  10.540  6.714  1.14    1.45   -0.72    1.20    0.00    0.48  0.868
   7.899  0.230  4.69    1.72   -1.51    1.42    0.00   -0.09 5.574E+03

  10.540  6.960  1.20    1.36   -0.36    1.13    0.00    0.77  0.869
   7.754  0.230  4.90    1.62   -1.08    1.33    0.00    0.26 4.610E+03

  10.540  7.220  1.27    1.29    0.02    1.06    0.00    1.08  0.868
   7.601  0.230  5.13    1.54   -0.63    1.25    0.00    0.62 3.804E+03

  10.540  7.495  1.34    1.23    0.40    1.00    0.00    1.40  0.867
   7.440  0.230  5.36    1.46   -0.18    1.18    0.00    1.00 3.131E+03

  10.540  7.788  1.41    1.17    0.79    0.94    0.00    1.73  0.865
   7.270  0.230  5.60    1.39    0.28    1.11    0.00    1.40 2.570E+03

  10.540  8.099  1.49    1.12    1.21    0.89    0.00    2.10  0.862
   7.091  0.230  5.86    1.34    0.77    1.06    0.00    1.83 2.103E+03

  10.540  8.431  1.57    1.09    1.65    0.84    0.00    2.49  0.859
   6.902  0.230  6.13    1.30    1.29    1.01    0.00    2.30 1.714E+03

  10.540  8.788  1.66    1.06    2.13    0.81    0.00    2.94  0.855
   6.702  0.230  6.42    1.26    1.86    0.97    0.00    2.83 1.391E+03

  10.540  9.171  1.75    1.05    2.63    0.78    0.00    3.42  0.851
   6.492  0.230  6.73    1.24    2.46    0.93    0.00    3.40 1.124E+03

  10.540  9.585  1.85    1.04    3.19    0.76    0.00    3.95  0.847
   6.270  0.230  7.05    1.24    3.12    0.91    0.00    4.04 9.030E+02

  10.540 10.034  1.95    1.05    3.79    0.75    0.01    4.54  0.842
   6.036  0.230  7.39    1.25    3.83    0.90    0.01    4.74 7.214E+02

  10.540 10.524  2.05    1.08    4.45    0.75    0.01    5.20  0.838
   5.789  0.230  7.74    1.28    4.61    0.90    0.01    5.52 5.728E+02

  10.540 11.061  2.16    1.12    5.17    0.76    0.01    5.93  0.834
   5.528  0.230  8.12    1.33    5.47    0.91    0.01    6.39 4.516E+02

  10.540 11.655  2.28    1.19    5.95    0.78    0.01    6.74  0.829
   5.253  0.230  8.52    1.40    6.40    0.94    0.01    7.35 3.534E+02

  10.540 12.316  2.41    1.28    6.80    0.83    0.01    7.64  0.825
   4.964  0.230  8.94    1.51    7.42    1.00    0.01    8.42 2.743E+02

  10.540 13.060  2.54    1.41    7.75    0.89    0.01    8.65  0.821
   4.658  0.230  9.38    1.66    8.55    1.08    0.01    9.64 2.110E+02

  10.540 13.907  2.68    1.58    8.82    0.99    0.01    9.81  0.816
   4.336  0.230  9.84    1.86    9.83    1.19    0.01   11.03 1.606E+02

  10.540 14.883  2.83    1.83   10.03    1.13    0.01   11.17  0.812
   3.996  0.230 10.33    2.15   11.28    1.36    0.01   12.66 1.209E+02

  10.540 16.027  2.98    2.17   11.44    1.34    0.02   12.80  0.807
   3.637  0.230 10.85    2.55   12.98    1.62    0.02   14.62 8.975E+01

  10.540 17.399  3.14    2.66   13.14    1.66    0.02   14.82  0.801
   3.259  0.230 11.40    3.14   15.02    2.01    0.02   17.06 6.554E+01

  10.540 19.089  3.32    3.40   15.28    2.18    0.03   17.49  0.792
   2.860  0.230 11.98    4.04   17.61    2.64    0.03   20.27 4.687E+01

  10.540 21.252  3.50    4.59   18.16    3.07    0.04   21.27  0.779
   2.439  0.230 12.59    5.51   21.09    3.71    0.04   24.84 3.261E+01

  10.540 24.171  3.69    6.68   22.40    4.72    0.05   27.18  0.759
   1.996  0.230 13.22    8.13   26.22    5.71    0.05   31.98 2.179E+01

  10.540 28.455  3.89   10.91   29.59    8.29    0.08   37.96  0.729
